id,usuario_id,post_id,conteudo,curtidas,data,responde_comentario_id
1,2,1,Que delícia! Onde você comprou esse café?,5,2024-01-15T08:45:00,
2,3,1,Também quero experimentar!,3,2024-01-15T09:00:00,
3,1,1,Comprei na cafeteria do centro. Recomendo!,8,2024-01-15T09:30:00,1
4,4,2,Boa! Qual foi o treino?,12,2024-01-15T09:30:00,
5,7,2,Treino de pernas é sempre o mais difícil,6,2024-01-15T10:00:00,
6,2,2,Fiz treino HIIT hoje também,4,2024-01-15T10:15:00,4
7,1,3,Que praia linda! Onde foi?,15,2024-01-14T19:00:00,
8,6,3,Parece o nordeste,8,2024-01-14T19:30:00,
9,4,3,Foi em Maragogi! Água cristalina,22,2024-01-14T20:00:00,7
10,2,4,Ótimas dicas! Vou aplicar,7,2024-01-13T10:30:00,
11,12,4,Salvei o post para ler depois,5,2024-01-13T11:00:00,
12,16,4,Produtividade é essencial,9,2024-01-13T11:30:00,
13,6,5,Parabéns pelo projeto! Ficou incrível,18,2024-01-12T15:00:00,
14,12,5,Posso colaborar?,11,2024-01-12T15:30:00,
15,6,5,Claro! Vou te chamar no privado,7,2024-01-12T16:00:00,14
16,1,6,Preciso de um fim de semana assim,6,2024-01-11T17:00:00,
17,5,6,Relaxar é importante,4,2024-01-11T17:30:00,
18,7,7,Qual o nome da música?,8,2024-01-10T20:30:00,
19,21,7,Também quero saber!,5,2024-01-10T21:00:00,
20,7,7,É a nova do Criolo,12,2024-01-10T21:30:00,18
21,1,8,Vou fazer essa receita!,14,2024-01-09T16:00:00,
22,2,8,Compartilha a receita completa?,9,2024-01-09T16:30:00,
23,4,8,Tem no meu blog! Link na bio,11,2024-01-09T17:00:00,22
24,6,9,Sucesso no canal!,10,2024-01-15T11:30:00,
25,20,9,Já me inscrevi,8,2024-01-15T12:00:00,
26,14,10,Amei essas dicas de moda!,19,2024-01-14T14:00:00,
27,23,10,Onde comprar essas peças?,13,2024-01-14T14:30:00,
28,14,10,Tem nas lojas do shopping,15,2024-01-14T15:00:00,27
29,1,11,Preciso ir nesse restaurante,7,2024-01-13T19:45:00,
30,6,11,Já fui! É maravilhoso,9,2024-01-13T20:00:00,
31,4,12,Concordo totalmente,16,2024-01-12T08:45:00,
32,9,12,IA vai mudar tudo mesmo,21,2024-01-12T09:00:00,
33,23,12,Já está mudando,18,2024-01-12T09:30:00,
34,41,12,O futuro é agora,14,2024-01-12T10:00:00,
35,2,13,Que fotos incríveis!,17,2024-01-11T15:00:00,
36,4,13,Qual câmera você usa?,12,2024-01-11T15:30:00,
37,28,13,Uso uma Canon EOS R6,20,2024-01-11T16:00:00,36
38,1,14,Preciso assistir essa série,11,2024-01-10T21:30:00,
39,4,14,Já assisti 3 vezes!,8,2024-01-10T22:00:00,
40,12,14,Vale muito a pena,13,2024-01-10T22:30:00,
41,2,16,Corrida matinal é o melhor,6,2024-01-15T07:00:00,
42,16,16,Quantos km você fez?,5,2024-01-15T07:30:00,
43,9,16,Fiz 10km hoje,9,2024-01-15T08:00:00,42
44,7,17,Porto Alegre é linda,8,2024-01-14T17:30:00,
45,10,17,Bem-vindo à cidade!,7,2024-01-14T18:00:00,
46,2,18,Reflexões importantes,10,2024-01-13T21:00:00,
47,13,18,Filosofia do dia a dia,6,2024-01-13T21:30:00,
48,15,19,O nordeste é incrível mesmo,14,2024-01-12T16:45:00,
49,11,19,Moro aqui e amo,11,2024-01-12T17:00:00,
50,20,21,Empreendedorismo em SP é desafiador,13,2024-01-10T10:15:00,
51,26,21,Mas as oportunidades compensam,16,2024-01-10T10:30:00,
52,4,23,Desfile incrível!,20,2024-01-15T16:00:00,
53,14,23,A melhor fashion week,22,2024-01-15T16:30:00,
54,26,23,Já estou ansiosa pela próxima,18,2024-01-15T17:00:00,
55,1,26,Code is life!,15,2024-01-12T14:20:00,
56,9,26,Programar é arte,12,2024-01-12T14:45:00,
57,23,26,Concordo plenamente,19,2024-01-12T15:00:00,
58,41,26,Código limpo é essencial,17,2024-01-12T15:30:00,
59,1,27,Debate sempre construtivo,24,2024-01-11T10:45:00,
60,8,27,Precisamos de mais diálogos assim,21,2024-01-11T11:00:00,
61,14,27,Política com respeito,19,2024-01-11T11:30:00,
62,43,27,Democracia em primeiro lugar,27,2024-01-11T12:00:00,
63,4,28,Lifestyle saudável é tudo,20,2024-01-10T08:00:00,
64,6,28,Inspirador!,14,2024-01-10T08:30:00,
65,14,28,Quero ter essa disciplina,18,2024-01-10T09:00:00,
66,26,28,Vamos juntas?,16,2024-01-10T09:30:00,65
67,15,32,Amazônia é patrimônio mundial,13,2024-01-13T18:20:00,
68,22,32,Precisamos proteger,17,2024-01-13T18:45:00,
69,29,35,Salvador no carnaval é único,19,2024-01-10T12:10:00,
70,40,35,Melhor festa do Brasil,22,2024-01-10T12:30:00,
71,23,46,IA mudando o mercado de trabalho,25,2024-01-13T09:05:00,
72,41,46,Precisamos nos adaptar,20,2024-01-13T09:30:00,
73,43,46,Tecnologia é inevitável,23,2024-01-13T10:00:00,
74,1,49,Produtividade sem estresse é possível,11,2024-01-10T12:50:00,
75,2,49,Equilíbrio é a chave,9,2024-01-10T13:15:00,
76,14,50,Skincare é autocuidado,21,2024-01-09T08:05:00,
77,26,50,Qual produto você usa?,18,2024-01-09T08:30:00,
78,49,50,Uso produtos coreanos,24,2024-01-09T09:00:00,77
79,4,51,Desfile maravilhoso,23,2024-01-15T17:20:00,
80,6,51,Moda brasileira em alta,19,2024-01-15T17:45:00,
81,1,53,Open source é o futuro,17,2024-01-13T09:50:00,
82,23,53,Vou contribuir no projeto,14,2024-01-13T10:15:00,
83,41,53,GitHub está bombando,20,2024-01-13T10:45:00,
84,2,58,Ótima playlist!,10,2024-01-15T20:00:00,
85,7,58,Perfeita para estudar,12,2024-01-15T20:30:00,
86,21,58,Salvei no Spotify,15,2024-01-15T21:00:00,
87,1,62,Análise certeira,22,2024-01-11T12:00:00,
88,4,62,Política precisa de análise,19,2024-01-11T12:30:00,
89,8,62,Excelente ponto de vista,24,2024-01-11T13:00:00,
90,43,62,Democracia sempre,28,2024-01-11T13:30:00,
91,14,94,Fashion 2024 promete,20,2024-01-14T17:00:00,
92,26,94,Já anotei todas as tendências,18,2024-01-14T17:30:00,
93,49,94,Sustentabilidade na moda é essencial,22,2024-01-14T18:00:00,
94,23,95,Blockchain revolucionário mesmo,19,2024-01-13T11:20:00,
95,41,95,Web3 chegando forte,21,2024-01-13T11:45:00,
96,1,97,Self-care é prioridade,16,2024-01-11T07:50:00,
97,4,97,Saúde mental em primeiro lugar,19,2024-01-11T08:15:00,
98,14,97,Autocuidado não é luxo,21,2024-01-11T08:40:00,
99,43,100,Debate necessário,26,2024-01-15T11:35:00,
100,8,100,Democracia fortalecida,23,2024-01-15T12:00:00,